 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, rowcost
D major (2#), 4+0:2:0:0:0, 6+0:4:1:0:1, 4+0:2:0:0:1, 5+0:3:0:0:0, 6+0:6:1:0:3, 8+0:6:2:0:3, 4+0:2:0:0:1, 8+0:5:1:0:2, 4+0:2:0:0:0, 7+0:5:1:0:2, 4+0:2:0:0:0, 5+0:3:0:0:0, 5+0:3:0:0:0, 5+0:4:0:0:2, 6+0:4:1:0:1, 81+0:53:7:0:16
G minor (2b), 3+0:1:0:0:0, 3+0:0:1:0:1, 3+0:0:0:0:1, 2+0:0:0:0:0, 4+0:0:1:0:3, 6+0:0:2:0:3, 3+0:0:0:0:1, 6+0:0:1:0:2, 1+0:0:0:0:0, 4+0:0:1:0:2, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:2, 3+0:0:1:0:1, 46+0:1:7:0:16
B minor (2#), 5+0:2:0:0:2, 6+0:4:1:0:5, 4+0:2:0:0:3, 5+0:3:0:0:4, 6+0:6:1:0:6, 9+0:6:2:0:7, 4+0:2:0:0:3, 8+0:5:1:0:6, 5+0:2:0:0:3, 7+0:5:1:0:6, 4+0:2:0:0:3, 5+0:3:0:0:4, 5+0:3:0:0:4, 5+0:4:0:0:5, 6+0:4:1:0:5, 84+0:53:7:0:66
G minor mel (2b), 4+0:1:0:0:0, 4+0:0:1:0:1, 2+0:0:0:0:1, 3+0:0:0:0:0, 5+0:0:1:0:3, 7+0:0:2:0:3, 2+0:0:0:0:1, 7+0:0:1:0:2, 2+0:0:0:0:0, 5+0:0:1:0:2, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:2, 4+0:0:1:0:1, 57+0:1:7:0:16
B minor mel (2#), 6+0:2:0:0:2, 7+0:4:1:0:5, 5+0:2:0:0:3, 6+0:3:0:0:4, 6+0:6:1:0:6, 9+0:6:2:0:7, 5+0:2:0:0:3, 9+0:5:1:0:6, 6+0:2:0:0:3, 8+0:5:1:0:6, 5+0:2:0:0:3, 5+0:3:0:0:4, 5+0:3:0:0:4, 6+0:4:0:0:5, 6+0:4:1:0:5, 94+0:53:7:0:66
Bb major blues (2b), 6+0:1:0:0:2, 4+0:0:1:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 5+0:0:1:0:0, 8+0:0:2:0:0, 3+0:0:0:0:0, 7+0:0:1:0:0, 2+0:0:0:0:0, 4+0:0:1:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:1:0:0, 61+0:1:7:0:2
D major blues (2#), 6+0:2:0:0:0, 7+0:4:1:0:2, 5+0:2:0:0:1, 6+0:3:0:0:1, 6+0:6:1:0:4, 8+0:6:2:0:4, 5+0:2:0:0:1, 9+0:5:1:0:3, 5+0:2:0:0:0, 8+0:5:1:0:3, 5+0:2:0:0:0, 5+0:3:0:0:1, 5+0:3:0:0:1, 6+0:4:0:0:2, 6+0:4:1:0:2, 92+0:53:7:0:25
G minor blues (2b), 6+0:1:0:0:2, 4+0:0:1:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 5+0:0:1:0:0, 8+0:0:2:0:0, 3+0:0:0:0:0, 7+0:0:1:0:0, 2+0:0:0:0:0, 4+0:0:1:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:1:0:0, 61+0:1:7:0:2
B minor blues (2#), 6+0:2:0:0:0, 7+0:4:1:0:2, 5+0:2:0:0:1, 6+0:3:0:0:1, 6+0:6:1:0:4, 8+0:6:2:0:4, 5+0:2:0:0:1, 9+0:5:1:0:3, 5+0:2:0:0:0, 8+0:5:1:0:3, 5+0:2:0:0:0, 5+0:3:0:0:1, 5+0:3:0:0:1, 6+0:4:0:0:2, 6+0:4:1:0:2, 92+0:53:7:0:25
Bb dorian (2b), 4+0:0:0:0:1, 3+0:0:1:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:1:0:2, 6+0:0:2:0:3, 1+0:0:0:0:0, 6+0:0:1:0:1, 1+0:0:0:0:0, 4+0:0:1:0:2, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:1:0:1, 44+0:0:7:0:12
D dorian (2#), 5+0:2:0:0:0, 7+0:4:1:0:2, 5+0:2:0:0:1, 6+0:3:0:0:1, 6+0:6:1:0:4, 8+0:6:2:0:4, 5+0:2:0:0:1, 9+0:5:1:0:3, 5+0:2:0:0:0, 8+0:5:1:0:3, 5+0:2:0:0:0, 5+0:3:0:0:1, 5+0:3:0:0:1, 6+0:4:0:0:2, 6+0:4:1:0:2, 91+0:53:7:0:25
Bb phrygian (2b), 4+0:1:0:0:1, 1+0:0:1:0:1, 2+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:1:0:1, 6+0:0:2:0:2, 2+0:0:0:0:0, 4+0:0:1:0:1, 1+0:0:0:0:0, 2+0:0:1:0:1, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:1:0:1, 28+0:1:7:0:8
D phrygian (2#), 5+0:0:0:0:1, 5+0:0:1:0:1, 3+0:0:0:0:0, 4+0:0:0:0:0, 6+0:0:1:0:2, 8+0:0:2:0:3, 3+0:0:0:0:0, 8+0:0:1:0:1, 3+0:0:0:0:0, 6+0:0:1:0:2, 3+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:0, 5+0:0:0:0:1, 5+0:0:1:0:1, 72+0:0:7:0:12
Bb lydian (2b), 4+0:0:0:0:1, 3+0:0:1:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:1:0:2, 6+0:0:2:0:3, 1+0:0:0:0:0, 6+0:0:1:0:1, 1+0:0:0:0:0, 4+0:0:1:0:2, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:1:0:1, 44+0:0:7:0:12
D lydian (2#), 5+0:2:0:0:0, 7+0:4:1:0:2, 5+0:2:0:0:1, 6+0:3:0:0:1, 6+0:6:1:0:4, 8+0:6:2:0:4, 5+0:2:0:0:1, 9+0:5:1:0:3, 5+0:2:0:0:0, 8+0:5:1:0:3, 5+0:2:0:0:0, 5+0:3:0:0:1, 5+0:3:0:0:1, 6+0:4:0:0:2, 6+0:4:1:0:2, 91+0:53:7:0:25
Bb mixolydian (2b), 4+0:1:0:0:1, 1+0:0:1:0:1, 2+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:1:0:1, 6+0:0:2:0:2, 2+0:0:0:0:0, 4+0:0:1:0:1, 1+0:0:0:0:0, 2+0:0:1:0:1, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:1:0:1, 28+0:1:7:0:8
D mixolydian (2#), 5+0:0:0:0:1, 5+0:0:1:0:1, 3+0:0:0:0:0, 4+0:0:0:0:0, 6+0:0:1:0:2, 8+0:0:2:0:3, 3+0:0:0:0:0, 8+0:0:1:0:1, 3+0:0:0:0:0, 6+0:0:1:0:2, 3+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:0, 5+0:0:0:0:1, 5+0:0:1:0:1, 72+0:0:7:0:12
Bb aeolian (2b), 3+0:0:0:0:1, 2+0:0:1:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:1:0:2, 5+0:0:2:0:3, 2+0:0:0:0:0, 5+0:0:1:0:1, 0+0:0:0:0:0, 3+0:0:1:0:2, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:1:0:1, 33+0:0:7:0:12
D aeolian (2#), 4+0:2:0:0:0, 6+0:4:1:0:1, 4+0:2:0:0:1, 5+0:3:0:0:0, 6+0:6:1:0:3, 8+0:6:2:0:3, 4+0:2:0:0:1, 8+0:5:1:0:2, 4+0:2:0:0:0, 7+0:5:1:0:2, 4+0:2:0:0:0, 5+0:3:0:0:0, 5+0:3:0:0:0, 5+0:4:0:0:2, 6+0:4:1:0:1, 81+0:53:7:0:16
Bb locrian (2b), 5+0:1:0:0:2, 2+0:0:1:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:1:0:0, 7+0:0:2:0:0, 3+0:0:0:0:0, 5+0:0:1:0:0, 1+0:0:0:0:0, 2+0:0:1:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:1:0:0, 39+0:1:7:0:2
D locrian (2#), 5+0:0:0:0:1, 4+0:0:1:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 6+0:0:1:0:2, 7+0:0:2:0:3, 2+0:0:0:0:0, 7+0:0:1:0:1, 2+0:0:0:0:0, 5+0:0:1:0:2, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:1, 4+0:0:1:0:1, 59+0:0:7:0:12
Eb major (3b), 4+0:1:0:0:1, 1+0:0:1:0:1, 2+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:1:0:1, 6+0:0:2:0:2, 2+0:0:0:0:0, 4+0:0:1:0:1, 1+0:0:0:0:0, 2+0:0:1:0:1, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:1:0:1, 28+0:1:7:0:8
A major (3#), 5+0:2:0:0:0, 7+0:4:1:0:2, 5+0:2:0:0:1, 6+0:3:0:0:1, 6+0:6:1:0:4, 8+0:6:2:0:4, 5+0:2:0:0:1, 9+0:5:1:0:3, 5+0:2:0:0:0, 8+0:5:1:0:3, 5+0:2:0:0:0, 5+0:3:0:0:1, 5+0:3:0:0:1, 6+0:4:0:0:2, 6+0:4:1:0:2, 91+0:53:7:0:25
C minor (3b), 5+0:1:0:0:1, 2+0:0:1:0:1, 3+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:1:0:2, 7+0:0:2:0:3, 3+0:0:0:0:0, 5+0:0:1:0:1, 2+0:0:0:0:0, 3+0:0:1:0:2, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:1:0:1, 43+0:1:7:0:12
F# minor (3#), 5+0:2:0:0:2, 7+0:4:1:0:6, 6+0:2:0:0:4, 6+0:3:0:0:5, 6+0:6:1:0:6, 8+0:6:2:0:8, 6+0:2:0:0:4, 9+0:5:1:0:7, 5+0:2:0:0:4, 8+0:5:1:0:7, 5+0:2:0:0:4, 5+0:3:0:0:5, 5+0:3:0:0:5, 6+0:4:0:0:5, 6+0:4:1:0:6, 93+0:53:7:0:78
C minor mel (3b), 4+0:1:0:0:1, 3+0:0:1:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:1:0:2, 6+0:0:2:0:3, 3+0:0:0:0:0, 6+0:0:1:0:1, 1+0:0:0:0:0, 4+0:0:1:0:2, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:1:0:1, 48+0:1:7:0:12
