 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, rowcost
D# minor mel (6#), 1+0:0:0:0:0, 2+0:0:0:0:1,  ,  , 2+0:0:0:0:0, 3+0:0:0:0:1,  ,  , 1+0:0:0:0:0, 2+0:0:0:0:1, 11+0:0:0:0:3
Gb major blues (6b), 3+0:0:1:0:1, 4+0:0:0:0:2,  ,  , 2+0:0:1:0:0, 3+0:0:0:0:1,  ,  , 3+0:0:1:0:1, 4+0:0:0:0:2, 19+0:0:3:0:7
F# major blues (6#), 3+0:0:0:0:1, 4+0:0:0:0:1,  ,  , 2+0:0:0:0:1, 3+0:0:0:0:1,  ,  , 3+0:0:0:0:1, 4+0:0:0:0:1, 19+0:0:0:0:6
Eb minor blues (6b), 3+0:0:1:0:1, 4+0:0:0:0:2,  ,  , 2+0:0:1:0:0, 3+0:0:0:0:1,  ,  , 3+0:0:1:0:1, 4+0:0:0:0:2, 19+0:0:3:0:7
D# minor blues (6#), 3+0:0:0:0:2, 4+0:0:0:0:3,  ,  , 2+0:0:0:0:1, 3+0:0:0:0:2,  ,  , 3+0:0:0:0:2, 4+0:0:0:0:3, 19+0:0:0:0:13
Gb dorian (6b), 2+0:0:1:0:0, 2+0:0:0:0:0,  ,  , 1+0:0:1:0:0, 1+0:0:0:0:0,  ,  , 2+0:0:1:0:0, 2+0:0:0:0:0, 10+0:0:3:0:0
F# dorian (6#), 2+0:0:0:0:0, 3+0:0:0:0:0,  ,  , 1+0:0:0:0:0, 2+0:0:0:0:0,  ,  , 2+0:0:0:0:0, 3+0:0:0:0:0, 13+0:0:0:0:0
Gb phrygian (6b), 3+0:0:0:0:1, 3+0:0:0:0:2,  ,  , 2+0:0:0:0:0, 2+0:0:0:0:1,  ,  , 3+0:0:0:0:1, 3+0:0:0:0:2, 16+0:0:0:0:7
F# phrygian (6#), 2+0:0:0:0:0, 4+0:0:0:0:0,  ,  , 1+0:0:0:0:0, 3+0:0:0:0:0,  ,  , 2+0:0:0:0:0, 4+0:0:0:0:0, 16+0:0:0:0:0
Gb lydian (6b), 2+0:0:1:0:0, 2+0:0:0:0:0,  ,  , 1+0:0:1:0:0, 1+0:0:0:0:0,  ,  , 2+0:0:1:0:0, 2+0:0:0:0:0, 10+0:0:3:0:0
F# lydian (6#), 2+0:0:0:0:0, 3+0:0:0:0:0,  ,  , 1+0:0:0:0:0, 2+0:0:0:0:0,  ,  , 2+0:0:0:0:0, 3+0:0:0:0:0, 13+0:0:0:0:0
Gb mixolydian (6b), 3+0:0:0:0:1, 3+0:0:0:0:2,  ,  , 2+0:0:0:0:0, 2+0:0:0:0:1,  ,  , 3+0:0:0:0:1, 3+0:0:0:0:2, 16+0:0:0:0:7
F# mixolydian (6#), 2+0:0:0:0:0, 4+0:0:0:0:0,  ,  , 1+0:0:0:0:0, 3+0:0:0:0:0,  ,  , 2+0:0:0:0:0, 4+0:0:0:0:0, 16+0:0:0:0:0
Gb aeolian (6b), 2+0:0:1:0:0, 2+0:0:0:0:1,  ,  , 1+0:0:1:0:0, 1+0:0:0:0:1,  ,  , 2+0:0:1:0:0, 2+0:0:0:0:1, 10+0:0:3:0:3
F# aeolian (6#), 2+0:0:0:0:0, 3+0:0:0:0:0,  ,  , 1+0:0:0:0:0, 2+0:0:0:0:0,  ,  , 2+0:0:0:0:0, 3+0:0:0:0:0, 13+0:0:0:0:0
Gb locrian (6b), 3+0:0:0:0:1, 3+0:0:0:0:1,  ,  , 2+0:0:0:0:0, 2+0:0:0:0:0,  ,  , 3+0:0:0:0:1, 3+0:0:0:0:1, 16+0:0:0:0:4
F# locrian (6#), 2+0:0:0:0:0, 3+0:1:0:0:0,  ,  , 1+0:0:0:0:0, 2+0:1:0:0:0,  ,  , 2+0:0:0:0:0, 3+0:1:0:0:0, 13+0:3:0:0:0
Cb major (7b), 3+0:0:0:0:1, 3+0:0:0:0:2,  ,  , 2+0:0:0:0:0, 2+0:0:0:0:1,  ,  , 3+0:0:0:0:1, 3+0:0:0:0:2, 16+0:0:0:0:7
C# major (7#), 2+0:0:0:0:0, 3+0:0:0:0:0,  ,  , 1+0:0:0:0:0, 2+0:0:0:0:0,  ,  , 2+0:0:0:0:0, 3+0:0:0:0:0, 13+0:0:0:0:0
Ab minor (7b), 3+0:0:0:0:0, 3+0:0:0:0:1,  ,  , 2+0:0:0:0:0, 2+0:0:0:0:1,  ,  , 3+0:0:0:0:0, 3+0:0:0:0:1, 16+0:0:0:0:3
A# minor (7#), 2+0:0:0:0:2, 1+0:0:0:0:1,  ,  , 1+0:0:0:0:1, 0+0:0:0:0:0,  ,  , 2+0:0:0:0:2, 1+0:0:0:0:1, 7+0:0:0:0:7
Ab minor mel (7b), 2+0:0:1:0:0, 2+0:0:0:0:1,  ,  , 1+0:0:1:0:0, 1+0:0:0:0:1,  ,  , 2+0:0:1:0:0, 2+0:0:0:0:1, 10+0:0:3:0:3
A# minor mel (7#), 2+0:0:0:0:2, 1+0:0:0:0:1,  ,  , 1+0:0:0:0:1, 0+0:0:0:0:0,  ,  , 2+0:0:0:0:2, 1+0:0:0:0:1, 7+0:0:0:0:7
Cb major blues (7b), 4+0:0:0:0:2, 5+0:0:0:0:2,  ,  , 3+0:0:0:0:1, 4+0:0:0:0:1,  ,  , 4+0:0:0:0:2, 5+0:0:0:0:2, 25+0:0:0:0:10
C# major blues (7#), 3+0:0:0:0:0, 4+0:0:0:0:0,  ,  , 2+0:0:0:0:0, 3+0:0:0:0:0,  ,  , 3+0:0:0:0:0, 4+0:0:0:0:0, 19+0:0:0:0:0
Ab minor blues (7b), 4+0:0:0:0:2, 5+0:0:0:0:2,  ,  , 3+0:0:0:0:1, 4+0:0:0:0:1,  ,  , 4+0:0:0:0:2, 5+0:0:0:0:2, 25+0:0:0:0:10
A# minor blues (7#), 3+0:0:0:0:0, 4+0:0:0:0:0,  ,  , 2+0:0:0:0:0, 3+0:0:0:0:0,  ,  , 3+0:0:0:0:0, 4+0:0:0:0:0, 19+0:0:0:0:0
Cb dorian (7b), 2+0:0:1:0:0, 2+0:0:0:0:1,  ,  , 1+0:0:1:0:0, 1+0:0:0:0:1,  ,  , 2+0:0:1:0:0, 2+0:0:0:0:1, 10+0:0:3:0:3
C# dorian (7#), 2+0:0:0:0:0, 3+0:0:0:0:0,  ,  , 1+0:0:0:0:0, 2+0:0:0:0:0,  ,  , 2+0:0:0:0:0, 3+0:0:0:0:0, 13+0:0:0:0:0
Cb phrygian (7b), 3+0:0:0:0:1, 3+0:0:0:0:1,  ,  , 2+0:0:0:0:0, 2+0:0:0:0:0,  ,  , 3+0:0:0:0:1, 3+0:0:0:0:1, 16+0:0:0:0:4
C# phrygian (7#), 2+0:0:0:0:0, 3+0:0:0:0:0,  ,  , 1+0:0:0:0:0, 2+0:0:0:0:0,  ,  , 2+0:0:0:0:0, 3+0:0:0:0:0, 13+0:0:0:0:0
Cb lydian (7b), 2+0:0:1:0:0, 2+0:0:0:0:1,  ,  , 1+0:0:1:0:0, 1+0:0:0:0:1,  ,  , 2+0:0:1:0:0, 2+0:0:0:0:1, 10+0:0:3:0:3
C# lydian (7#), 2+0:0:0:0:0, 3+0:0:0:0:0,  ,  , 1+0:0:0:0:0, 2+0:0:0:0:0,  ,  , 2+0:0:0:0:0, 3+0:0:0:0:0, 13+0:0:0:0:0
Cb mixolydian (7b), 3+0:0:0:0:1, 3+0:0:0:0:1,  ,  , 2+0:0:0:0:0, 2+0:0:0:0:0,  ,  , 3+0:0:0:0:1, 3+0:0:0:0:1, 16+0:0:0:0:4
C# mixolydian (7#), 2+0:0:0:0:0, 3+0:0:0:0:0,  ,  , 1+0:0:0:0:0, 2+0:0:0:0:0,  ,  , 2+0:0:0:0:0, 3+0:0:0:0:0, 13+0:0:0:0:0
Cb aeolian (7b), 3+0:0:0:0:1, 3+0:0:0:0:2,  ,  , 2+0:0:0:0:0, 2+0:0:0:0:1,  ,  , 3+0:0:0:0:1, 3+0:0:0:0:2, 16+0:0:0:0:7
C# aeolian (7#), 2+0:0:0:0:0, 3+0:0:0:0:0,  ,  , 1+0:0:0:0:0, 2+0:0:0:0:0,  ,  , 2+0:0:0:0:0, 3+0:0:0:0:0, 13+0:0:0:0:0
Cb locrian (7b), 3+0:1:0:0:1, 3+0:1:0:0:1,  ,  , 2+0:1:1:0:1, 3+0:0:0:0:0,  ,  , 3+0:1:0:0:1, 3+0:1:0:0:1, 17+0:5:1:0:5
C# locrian (7#), 2+0:0:0:0:0, 4+0:0:0:0:0,  ,  , 1+0:0:0:0:0, 3+0:0:0:0:0,  ,  , 2+0:0:0:0:0, 4+0:0:0:0:0, 16+0:0:0:0:0
