 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, rowcost
Bb major (2b), 0+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:1:0:2, 3+0:0:1:0:2, 2+0:0:0:0:1, 4+0:0:0:0:0, 1+0:0:0:0:1, 2+0:0:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:1, 0+0:0:0:0:0, 2+0:0:0:0:1, 30+0:0:2:0:10
D major (2#), 2+0:2:0:0:0, 0+0:0:0:0:0, 4+0:2:0:0:1, 4+0:3:0:0:1, 4+0:2:0:0:0, 4+0:2:0:0:0, 6+0:5:1:0:2, 5+0:4:1:0:2, 2+0:0:0:0:1, 4+0:3:0:0:1, 4+0:1:0:0:1, 3+0:2:0:0:0, 4+0:3:0:0:1, 4+0:3:0:0:1, 2+0:2:0:0:0, 2+0:1:0:0:1, 54+0:35:2:0:12
G minor (2b), 0+0:0:0:0:0, 2+0:1:0:0:0, 3+0:0:0:0:1, 3+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:1:0:2, 4+0:0:1:0:2, 3+0:1:0:0:1, 3+0:0:0:0:1, 2+0:1:0:0:1, 3+0:1:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:1, 0+0:0:0:0:0, 2+0:1:0:0:1, 37+0:5:2:0:12
B minor (2#), 2+0:2:0:0:2, 1+0:0:0:0:0, 4+0:2:0:0:3, 4+0:3:0:0:3, 4+0:1:0:0:2, 4+0:2:0:0:3, 6+0:5:1:0:6, 5+0:4:1:0:5, 2+0:0:0:0:1, 4+0:3:0:0:3, 5+0:1:0:0:2, 3+0:2:0:0:3, 4+0:3:0:0:4, 4+0:3:0:0:3, 2+0:2:0:0:2, 2+0:1:0:0:1, 56+0:34:2:0:43
G minor mel (2b), 1+0:0:0:0:0, 2+0:1:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:1:0:2, 5+0:0:1:0:2, 3+0:1:0:0:1, 2+0:0:0:0:1, 3+0:1:0:0:1, 3+0:1:0:0:0, 3+0:0:0:0:1, 3+0:0:0:0:1, 1+0:0:0:0:0, 1+0:1:0:0:1, 41+0:5:2:0:12
B minor mel (2#), 3+0:2:0:0:2, 1+0:0:0:0:0, 4+0:2:0:0:3, 5+0:3:0:0:3, 4+0:1:0:0:2, 5+0:2:0:0:3, 6+0:5:1:0:6, 5+0:4:1:0:5, 3+0:0:0:0:1, 5+0:3:0:0:3, 4+0:1:0:0:2, 4+0:2:0:0:3, 5+0:3:0:0:4, 4+0:3:0:0:3, 3+0:2:0:0:2, 1+0:1:0:0:1, 62+0:34:2:0:43
Bb major blues (2b), 2+0:0:0:0:0, 5+0:2:0:0:3, 2+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:1:0:0, 4+0:0:1:0:0, 3+0:1:0:0:2, 4+0:1:0:0:1, 3+0:1:0:0:1, 3+0:1:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:1:0:0:1, 45+0:7:2:0:9
D major blues (2#), 3+0:2:0:0:0, 2+0:0:0:0:0, 4+0:2:0:0:2, 5+0:3:0:0:2, 4+0:2:0:0:1, 5+0:2:0:0:1, 6+0:5:1:0:3, 5+0:4:1:0:3, 3+0:0:0:0:1, 6+0:3:0:0:2, 4+0:1:0:0:0, 5+0:2:0:0:1, 5+0:3:0:0:1, 4+0:3:0:0:2, 3+0:2:0:0:0, 2+0:1:0:0:0, 66+0:35:2:0:19
G minor blues (2b), 2+0:0:0:0:0, 5+0:2:0:0:3, 2+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:1:0:0, 4+0:0:1:0:0, 3+0:1:0:0:2, 4+0:1:0:0:1, 3+0:1:0:0:1, 3+0:1:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:1:0:0:1, 45+0:7:2:0:9
B minor blues (2#), 3+0:2:0:0:0, 2+0:0:0:0:0, 4+0:2:0:0:2, 5+0:3:0:0:2, 4+0:2:0:0:1, 5+0:2:0:0:1, 6+0:5:1:0:3, 5+0:4:1:0:3, 3+0:0:0:0:1, 6+0:3:0:0:2, 4+0:1:0:0:0, 5+0:2:0:0:1, 5+0:3:0:0:1, 4+0:3:0:0:2, 3+0:2:0:0:0, 2+0:1:0:0:0, 66+0:35:2:0:19
Bb dorian (2b), 1+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:1:0:2, 4+0:0:1:0:2, 2+0:0:0:0:1, 3+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:1, 34+0:0:2:0:10
D dorian (2#), 3+0:2:0:0:0, 0+0:0:0:0:0, 4+0:2:0:0:2, 5+0:3:0:0:2, 4+0:2:0:0:1, 5+0:2:0:0:1, 6+0:5:1:0:3, 5+0:4:1:0:3, 3+0:0:0:0:1, 5+0:3:0:0:2, 3+0:1:0:0:0, 4+0:2:0:0:1, 5+0:3:0:0:1, 4+0:3:0:0:2, 3+0:2:0:0:0, 1+0:1:0:0:0, 60+0:35:2:0:19
Bb phrygian (2b), 0+0:0:0:0:0, 4+0:2:0:0:2, 1+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:1:0:1, 2+0:0:1:0:1, 2+0:1:0:0:1, 3+0:1:0:0:1, 2+0:1:0:0:1, 1+0:1:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 2+0:1:0:0:1, 23+0:7:2:0:9
D phrygian (2#), 2+0:0:0:0:0, 1+0:0:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 6+0:0:1:0:2, 5+0:0:1:0:2, 2+0:0:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:1, 4+0:0:0:0:1, 4+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:1, 49+0:0:2:0:10
Bb lydian (2b), 1+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:1:0:2, 4+0:0:1:0:2, 2+0:0:0:0:1, 3+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:1, 34+0:0:2:0:10
D lydian (2#), 3+0:2:0:0:0, 0+0:0:0:0:0, 4+0:2:0:0:2, 5+0:3:0:0:2, 4+0:2:0:0:1, 5+0:2:0:0:1, 6+0:5:1:0:3, 5+0:4:1:0:3, 3+0:0:0:0:1, 5+0:3:0:0:2, 3+0:1:0:0:0, 4+0:2:0:0:1, 5+0:3:0:0:1, 4+0:3:0:0:2, 3+0:2:0:0:0, 1+0:1:0:0:0, 60+0:35:2:0:19
Bb mixolydian (2b), 0+0:0:0:0:0, 4+0:2:0:0:2, 1+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:1:0:1, 2+0:0:1:0:1, 2+0:1:0:0:1, 3+0:1:0:0:1, 2+0:1:0:0:1, 1+0:1:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 2+0:1:0:0:1, 23+0:7:2:0:9
D mixolydian (2#), 2+0:0:0:0:0, 1+0:0:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 6+0:0:1:0:2, 5+0:0:1:0:2, 2+0:0:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:1, 4+0:0:0:0:1, 4+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:1, 49+0:0:2:0:10
Bb aeolian (2b), 0+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:1:0:2, 3+0:0:1:0:2, 2+0:0:0:0:1, 4+0:0:0:0:0, 1+0:0:0:0:1, 2+0:0:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:1, 0+0:0:0:0:0, 2+0:0:0:0:1, 30+0:0:2:0:10
D aeolian (2#), 2+0:2:0:0:0, 0+0:0:0:0:0, 4+0:2:0:0:1, 4+0:3:0:0:1, 4+0:2:0:0:0, 4+0:2:0:0:0, 6+0:5:1:0:2, 5+0:4:1:0:2, 2+0:0:0:0:1, 4+0:3:0:0:1, 4+0:1:0:0:1, 3+0:2:0:0:0, 4+0:3:0:0:1, 4+0:3:0:0:1, 2+0:2:0:0:0, 2+0:1:0:0:1, 54+0:35:2:0:12
Bb locrian (2b), 1+0:0:0:0:0, 5+0:2:0:0:3, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:1:0:0, 2+0:0:1:0:0, 3+0:1:0:0:2, 2+0:1:0:0:1, 2+0:1:0:0:1, 2+0:1:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:1:0:0:1, 25+0:7:2:0:9
D locrian (2#), 2+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:1:0:2, 4+0:0:1:0:2, 1+0:0:0:0:1, 4+0:0:0:0:0, 2+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:1, 42+0:0:2:0:10
Eb major (3b), 0+0:0:0:0:0, 4+0:2:0:0:2, 1+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:1:0:1, 2+0:0:1:0:1, 2+0:1:0:0:1, 3+0:1:0:0:1, 2+0:1:0:0:1, 1+0:1:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 2+0:1:0:0:1, 23+0:7:2:0:9
A major (3#), 3+0:2:0:0:0, 0+0:0:0:0:0, 4+0:2:0:0:2, 5+0:3:0:0:2, 4+0:2:0:0:1, 5+0:2:0:0:1, 6+0:5:1:0:3, 5+0:4:1:0:3, 3+0:0:0:0:1, 5+0:3:0:0:2, 3+0:1:0:0:0, 4+0:2:0:0:1, 5+0:3:0:0:1, 4+0:3:0:0:2, 3+0:2:0:0:0, 1+0:1:0:0:0, 60+0:35:2:0:19
C minor (3b), 1+0:0:0:0:0, 3+0:2:0:0:1, 1+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:1:0:2, 2+0:0:1:0:2, 1+0:1:0:0:1, 4+0:1:0:0:0, 2+0:1:0:0:1, 2+0:1:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:1, 1+0:0:0:0:0, 3+0:1:0:0:1, 31+0:7:2:0:10
F# minor (3#), 3+0:2:0:0:2, 0+0:0:0:0:0, 4+0:2:0:0:4, 6+0:3:0:0:4, 4+0:1:0:0:3, 5+0:2:0:0:4, 6+0:5:1:0:6, 5+0:4:1:0:5, 3+0:0:0:0:1, 6+0:3:0:0:4, 3+0:1:0:0:3, 4+0:2:0:0:3, 5+0:3:0:0:3, 4+0:3:0:0:4, 3+0:2:0:0:2, 2+0:1:0:0:1, 63+0:34:2:0:49
C minor mel (3b), 1+0:0:0:0:0, 2+0:2:0:0:1, 2+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:1:0:2, 3+0:0:1:0:2, 1+0:1:0:0:1, 5+0:1:0:0:0, 1+0:1:0:0:1, 3+0:1:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:1, 1+0:0:0:0:0, 3+0:1:0:0:1, 38+0:7:2:0:10
