 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, rowcost
B minor blues (2#), 1+0:0:0:0:0, 6+0:3:0:0:1, 4+0:1:0:0:0, 3+0:1:0:0:0, 8+0:3:0:0:1, 8+0:5:0:0:3, 7+0:5:0:0:3, 5+0:3:0:0:2, 2+0:0:0:0:0, 5+0:3:0:0:1, 5+0:2:0:0:0, 5+0:3:0:0:2, 5+0:2:0:0:0, 64+0:31:0:0:13
Bb dorian (2b), 0+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:1, 4+0:0:0:0:1, 2+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:1, 29+0:0:0:0:4
D dorian (2#), 1+0:0:0:0:0, 6+0:3:0:0:1, 3+0:1:0:0:0, 2+0:1:0:0:0, 8+0:3:0:0:1, 8+0:5:0:0:3, 7+0:5:0:0:3, 5+0:3:0:0:2, 2+0:0:0:0:0, 5+0:3:0:0:1, 4+0:2:0:0:0, 5+0:3:0:0:2, 3+0:2:0:0:0, 59+0:31:0:0:13
Bb phrygian (2b), 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:1:0:0:1, 15+0:1:0:0:1
D phrygian (2#), 1+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 6+0:0:0:0:0, 6+0:0:0:0:1, 6+0:0:0:0:1, 4+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:1, 4+0:0:0:0:0, 4+0:0:0:0:0, 5+0:0:0:0:1, 50+0:0:0:0:4
Bb lydian (2b), 0+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:1, 4+0:0:0:0:1, 2+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:1, 29+0:0:0:0:4
D lydian (2#), 1+0:0:0:0:0, 6+0:3:0:0:1, 3+0:1:0:0:0, 2+0:1:0:0:0, 8+0:3:0:0:1, 8+0:5:0:0:3, 7+0:5:0:0:3, 5+0:3:0:0:2, 2+0:0:0:0:0, 5+0:3:0:0:1, 4+0:2:0:0:0, 5+0:3:0:0:2, 3+0:2:0:0:0, 59+0:31:0:0:13
Bb mixolydian (2b), 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:1:0:0:1, 15+0:1:0:0:1
D mixolydian (2#), 1+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 6+0:0:0:0:0, 6+0:0:0:0:1, 6+0:0:0:0:1, 4+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:1, 4+0:0:0:0:0, 4+0:0:0:0:0, 5+0:0:0:0:1, 50+0:0:0:0:4
Bb aeolian (2b), 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:0:0:1, 2+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:1, 21+0:0:0:0:4
