 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, rowcost
G aeolian (1#), 2+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:2:0:3, 4+0:0:0:0:1, 7+0:0:0:1:2, 1+0:0:0:0:1, 7+0:0:0:1:2, 0+0:0:0:0:0, 6+0:0:0:1:2, 2+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 65+0:0:2:3:11
F locrian (1b), 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 4+0:3:2:0:3, 2+0:0:0:0:0, 4+0:0:0:1:1, 4+0:2:0:0:2, 4+0:0:0:1:1, 2+0:0:0:0:0, 4+0:0:0:1:1, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 35+0:5:2:3:8
G locrian (1#), 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:2:0:3, 3+0:0:0:0:1, 6+0:0:0:1:2, 2+0:0:0:0:1, 6+0:0:0:1:2, 1+0:0:0:0:0, 6+0:0:0:1:2, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 35+0:0:2:3:11
Bb major (2b), 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:2:0:3, 2+0:0:0:0:1, 5+0:0:0:1:2, 3+0:0:0:0:1, 5+0:0:0:1:2, 2+0:0:0:0:0, 5+0:0:0:1:2, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 44+0:0:2:3:11
D major (2#), 3+0:1:0:0:0, 3+0:2:0:0:0, 2+0:1:0:0:0, 3+0:2:0:0:0, 3+0:1:0:0:0, 3+0:2:0:0:0, 2+0:1:0:0:0, 3+0:2:0:0:0, 1+0:1:0:0:0, 2+0:0:2:0:2, 4+0:4:0:0:2, 8+0:7:0:1:3, 0+0:0:0:0:0, 8+0:7:0:1:3, 0+0:0:0:0:0, 7+0:5:0:1:2, 3+0:1:0:0:0, 3+0:2:0:0:0, 2+0:1:0:0:0, 3+0:2:0:0:0, 3+0:1:0:0:0, 3+0:2:0:0:0, 2+0:1:0:0:0, 3+0:2:0:0:0, 74+0:48:2:3:12
G minor (2b), 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:3:2:0:2, 2+0:0:0:0:2, 5+0:0:0:1:3, 2+0:1:0:0:0, 5+0:0:0:1:3, 2+0:0:0:0:0, 5+0:0:0:1:2, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 55+0:4:2:3:12
B minor (2#), 3+0:1:0:0:2, 3+0:2:0:0:3, 2+0:1:0:0:1, 3+0:2:0:0:3, 3+0:1:0:0:2, 3+0:2:0:0:3, 2+0:1:0:0:1, 3+0:2:0:0:3, 1+0:1:0:0:1, 3+0:0:2:0:1, 4+0:4:0:0:4, 8+0:7:0:1:6, 1+0:0:0:0:0, 8+0:7:0:1:6, 0+0:0:0:0:0, 7+0:5:0:1:4, 3+0:1:0:0:2, 3+0:2:0:0:3, 2+0:1:0:0:1, 3+0:2:0:0:3, 3+0:1:0:0:2, 3+0:2:0:0:3, 2+0:1:0:0:1, 3+0:2:0:0:3, 76+0:48:2:3:58
G minor mel (2b), 1+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 3+0:3:2:0:2, 3+0:0:0:0:2, 6+0:0:0:1:3, 1+0:1:0:0:0, 6+0:0:0:1:3, 1+0:0:0:0:0, 6+0:0:0:1:2, 1+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 46+0:4:2:3:12
B minor mel (2#), 4+0:1:0:0:2, 4+0:2:0:0:3, 3+0:1:0:0:1, 3+0:2:0:0:3, 4+0:1:0:0:2, 4+0:2:0:0:3, 3+0:1:0:0:1, 4+0:2:0:0:3, 2+0:1:0:0:1, 4+0:0:2:0:1, 4+0:4:0:0:4, 8+0:7:0:1:6, 2+0:0:0:0:0, 8+0:7:0:1:6, 1+0:0:0:0:0, 7+0:5:0:1:4, 4+0:1:0:0:2, 4+0:2:0:0:3, 3+0:1:0:0:1, 3+0:2:0:0:3, 4+0:1:0:0:2, 4+0:2:0:0:3, 3+0:1:0:0:1, 4+0:2:0:0:3, 94+0:48:2:3:58
Bb major blues (2b), 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+0:3:2:0:3, 3+0:0:0:0:0, 6+0:0:0:1:1, 4+0:2:0:0:2, 6+0:0:0:1:1, 3+0:0:0:0:1, 6+0:0:0:1:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 60+0:5:2:3:9
