 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, rowcost
Bb major (2b), 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 6+0:0:1:0:2, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 6+2:0:0:0:2, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:1:0:1, 3+1:0:0:0:2, 1+0:0:0:0:0, 0+0:0:0:0:0, 4+0:0:1:0:1, 7+0:0:0:0:2, 0+0:0:0:0:0, 36+3:0:3:0:10
D major (2#), 5+0:3:0:0:0, 4+0:3:0:0:0, 2+0:2:0:0:0, 7+0:4:1:0:3, 5+0:3:0:0:0, 4+0:3:0:0:0, 2+0:2:0:0:0, 8+2:4:0:0:2, 3+0:2:0:0:0, 5+0:3:0:0:0, 5+0:4:1:0:2, 6+1:2:0:0:1, 3+0:2:0:0:0, 3+0:2:0:0:0, 7+0:5:1:0:2, 10+0:4:0:0:2, 3+0:1:0:0:0, 82+3:49:3:0:12
G minor (2b), 2+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 7+0:1:1:0:3, 2+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 7+2:2:0:0:2, 1+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:1:0:2, 3+1:2:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 5+0:0:1:0:2, 7+0:1:0:0:2, 1+0:0:0:0:0, 47+3:6:3:0:12
B minor (2#), 5+0:3:0:0:4, 4+0:3:0:0:4, 2+0:2:0:0:2, 7+0:4:1:0:5, 5+0:3:0:0:4, 4+0:3:0:0:4, 2+0:2:0:0:2, 8+2:4:0:0:5, 3+0:2:0:0:2, 5+0:3:0:0:4, 5+0:3:1:0:4, 7+1:2:0:0:2, 3+0:2:0:0:2, 3+0:1:0:0:2, 7+0:5:1:0:6, 11+0:4:0:0:5, 4+0:1:0:0:2, 85+3:47:3:0:59
G minor mel (2b), 3+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 6+0:1:1:0:3, 3+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 8+2:2:0:0:2, 2+0:0:0:0:0, 3+0:0:0:0:0, 5+0:0:1:0:2, 4+1:2:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 6+0:0:1:0:2, 8+0:1:0:0:2, 2+0:0:0:0:0, 62+3:6:3:0:12
B minor mel (2#), 6+0:3:0:0:4, 5+0:3:0:0:4, 3+0:2:0:0:2, 8+0:4:1:0:5, 6+0:3:0:0:4, 5+0:3:0:0:4, 3+0:2:0:0:2, 9+2:4:0:0:5, 4+0:2:0:0:2, 6+0:3:0:0:4, 6+0:3:1:0:4, 8+1:2:0:0:2, 4+0:2:0:0:2, 4+0:1:0:0:2, 8+0:5:1:0:6, 12+0:4:0:0:5, 4+0:1:0:0:2, 101+3:47:3:0:59
Bb major blues (2b), 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 6+0:1:1:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 7+2:2:0:0:2, 2+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:1:0:0, 5+1:2:0:0:2, 2+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:1:0:0, 9+0:1:0:0:2, 2+0:0:0:0:0, 61+3:6:3:0:7
D major blues (2#), 6+0:3:0:0:1, 5+0:3:0:0:1, 3+0:2:0:0:0, 8+0:4:1:0:4, 6+0:3:0:0:1, 5+0:3:0:0:1, 3+0:2:0:0:0, 10+2:4:0:0:3, 4+0:2:0:0:1, 6+0:3:0:0:1, 6+0:4:1:0:3, 7+1:2:0:0:1, 4+0:2:0:0:1, 4+0:2:0:0:0, 8+0:5:1:0:3, 12+0:4:0:0:1, 3+0:1:0:0:0, 100+3:49:3:0:22
G minor blues (2b), 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 6+0:1:1:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 7+2:2:0:0:2, 2+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:1:0:0, 5+1:2:0:0:2, 2+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:1:0:0, 9+0:1:0:0:2, 2+0:0:0:0:0, 61+3:6:3:0:7
B minor blues (2#), 6+0:3:0:0:1, 5+0:3:0:0:1, 3+0:2:0:0:0, 8+0:4:1:0:4, 6+0:3:0:0:1, 5+0:3:0:0:1, 3+0:2:0:0:0, 10+2:4:0:0:3, 4+0:2:0:0:1, 6+0:3:0:0:1, 6+0:4:1:0:3, 7+1:2:0:0:1, 4+0:2:0:0:1, 4+0:2:0:0:0, 8+0:5:1:0:3, 12+0:4:0:0:1, 3+0:1:0:0:0, 100+3:49:3:0:22
